territory,winner,players,power,day
Stanford,Michigan,99,491.5,33
East Carolina,Chaos,35,218.0,33
Arkansas,Chaos,30,197.25,33
Illinois,Wisconsin,70,314.5,33
Oregon,Michigan,63,502.5,33
Wyoming,Nebraska,41,387.0,33
Colorado,Nebraska,11,132.5,33
Ole Miss,Alabama,40,366.0,33
BYU,Nebraska,6,68.0,33
Bowling Green,Ohio State,7,13.0,33
San José State,Michigan,84,400.0,33
Minnesota,Wisconsin,50,320.5,33
Arkansas State,Georgia Tech,21,162.5,33
UT San Antonio,Texas A&M,126,732.5,33
Georgia Southern,Georgia Tech,50,418.0,33
SMU,Texas,80,615.0,33
Boston College,Michigan,101,738.0,33
Louisville,Georgia Tech,2,20.0,33
LSU,Alabama,51,519.75,33
Virginia Tech,Chaos,19,134.75,33
Purdue,Wisconsin,15,100.5,33
Maryland,Ohio State,38,432.5,33
Northern Illinois,Wisconsin,14,101.5,33
Appalachian State,Georgia Tech,33,293.0,33
Air Force,Nebraska,14,95.5,33
Troy,Alabama,7,32.5,33
South Alabama,Alabama,6,37.0,33
Georgia State,Georgia Tech,31,152.0,33
Syracuse,Ohio State,82,784.0,33
UTEP,Texas A&M,109,674.0,33
Georgia,Georgia Tech,42,369.5,33
Hawai'i,Georgia Tech,30,261.5,33
Army,Michigan,216,674.5,33
Ohio,Michigan,66,208.5,33
Kansas,Nebraska,7,78.0,33
Missouri,Stanford,20,149.5,33
New Mexico,Texas A&M,83,536.0,33
Liberty,Chaos,57,428.25,33
UNLV,Michigan,43,298.5,33
Western Kentucky,Georgia Tech,39,177.5,33
San Diego State,Georgia Tech,45,188.0,33
UMass,Michigan,46,432.0,33
Alabama,Alabama,23,91.0,33
Temple,Ohio State,188,595.0,33
Miami (OH),Ohio State,4,57.0,33
Georgia Tech,Alabama,18,39.0,33
North Carolina,Georgia Tech,30,206.0,33
Clemson,Georgia Tech,33,160.0,33
Washington State,Nebraska,17,253.5,33
Toledo,Wisconsin,30,180.5,33
Louisiana Monroe,Alabama,32,191.0,33
Arizona State,Michigan,42,214.0,33
Utah State,Nebraska,36,307.5,33
Kansas State,Nebraska,1,18.0,33
Florida,Georgia Tech,11,93.5,33
Kentucky,Georgia Tech,9,64.0,33
Vanderbilt,Alabama,48,267.5,33
Florida State,Georgia Tech,5,42.0,33
Baylor,Texas A&M,100,620.0,33
Louisiana,Chaos,14,131.5,33
Tulane,Alabama,6,37.5,33
California,Michigan,56,477.5,33
Northwestern,Wisconsin,15,109.5,33
South Carolina,Georgia Tech,25,139.0,33
Nebraska,Nebraska,28,277.5,33
Louisiana Tech,Chaos,17,89.0,33
Duke,Georgia Tech,45,327.0,33
UAB,Alabama,6,39.0,33
Fresno State,Michigan,52,328.5,33
Boise State,Nebraska,39,267.5,33
TCU,Texas A&M,90,669.5,33
West Virginia,Ohio State,62,362.25,33
Cincinnati,Ohio State,6,29.5,33
Wisconsin,Wisconsin,47,303.5,34
Middle Tennessee,Alabama,23,238.0,34
Troy,Georgia Tech,11,61.0,34
San Diego State,Chaos,22,162.5,34
Ball State,Wisconsin,10,66.0,34
Western Kentucky,Stanford,17,128.0,34
Buffalo,Ohio State,49,576.0,34
Texas Tech,Wisconsin,84,504.5,34
Mississippi State,Alabama,29,196.5,34
Iowa State,Nebraska,12,144.0,34
Oklahoma,Michigan,84,381.0,34
Rutgers,Michigan,42,367.0,34
Indiana,Wisconsin,12,97.5,34
Texas A&M,Texas A&M,93,522.5,34
NC State,Georgia Tech,12,85.5,34
Pittsburgh,Michigan,143,465.0,34
Houston,Texas,73,536.0,34
Oregon State,Michigan,10,15.0,34
Wake Forest,Georgia Tech,8,70.5,34
Maryland,Chaos,60,487.0,34
Charlotte,Georgia Tech,22,93.0,34
Akron,Michigan,121,449.0,34
Washington,Nebraska,16,113.5,34
Nevada,Nebraska,18,218.5,34
Chaos,Michigan,51,123.5,34
UCLA,Ohio State,91,541.5,34
Georgia Tech,Georgia Tech,101,415.5,34
Old Dominion,Chaos,64,461.0,34
Rice,Texas,151,632.0,34
Arizona,Texas A&M,59,161.0,34
Utah,Nebraska,30,234.5,34
Kent State,Ohio State,66,409.0,34
Arkansas State,Stanford,13,35.0,34
Louisiana,Alabama,16,81.0,34
USC,Ohio State,126,454.0,34
Oklahoma State,Nebraska,16,206.5,34
New Mexico State,Texas A&M,82,280.5,34
Texas,Texas A&M,81,568.0,34
Coastal Carolina,Georgia Tech,17,112.5,34
Stanford,Michigan,198,854.5,34
Clemson,Chaos,50,462.0,34
Memphis,Stanford,12,82.0,34
Baylor,Texas,63,538.0,34
Illinois,Wisconsin,40,358.5,34
North Texas,Michigan,73,464.5,34
Marshall,Michigan,67,182.0,34
Oregon,Michigan,14,38.0,34
Kentucky,Wisconsin,12,100.5,34
Missouri,Wisconsin,85,473.0,34
Wyoming,Nebraska,37,351.0,34
Army,Ohio State,193,748.5,34
Ole Miss,Alabama,26,229.5,34
BYU,Nebraska,23,207.0,34
Bowling Green,Ohio State,60,209.0,34
Minnesota,Wisconsin,55,430.0,34
Louisville,Chaos,3,45.0,34
UT San Antonio,Texas A&M,104,647.0,34
SMU,Texas,90,637.0,34
Boston College,Michigan,86,651.5,34
LSU,Alabama,25,285.0,34
East Carolina,Georgia Tech,14,83.0,34
San José State,Nebraska,14,46.5,34
Northern Illinois,Wisconsin,34,283.5,34
Iowa,Wisconsin,66,346.0,34
Appalachian State,Georgia Tech,32,213.0,34
Arkansas,Texas,82,474.0,34
Air Force,Nebraska,15,203.5,34
Georgia State,Georgia Tech,4,25.0,34
UNLV,Chaos,50,440.5,34
Syracuse,Ohio State,103,760.5,34
